slots,threads,var,value
16384,4,cachemiss,0.02
16384,4,normtime,111891.08124413868
16384,4,efficiency,0.4679261559020012
16384,5,ipc,0.83
16384,5,cachemiss,0.016
16384,5,normtime,106526.69295014291
16384,5,efficiency,0.35639391721920183
16384,6,ipc,0.7
16384,6,cachemiss,0.014
16384,6,normtime,102131.09138964834
16384,6,efficiency,0.2847400553028889
16384,7,ipc,0.28
16384,7,cachemiss,41.417
16384,7,normtime,40123.560484921734
16384,7,efficiency,0.09588336499107375
16384,8,ipc,0.23
16384,8,cachemiss,40.814
16384,8,normtime,35121.73174215082
16384,8,efficiency,0.0734391728991663
16384,9,ipc,0.2
16384,9,cachemiss,40.406
16384,9,normtime,31069.340538664354
16384,9,efficiency,0.05774725810936385
16384,10,ipc,0.18
16384,10,cachemiss,40.854
16384,10,normtime,28109.14808278368
16384,10,efficiency,0.047020747183086437
16384,11,ipc,0.17
16384,11,cachemiss,40.614
16384,11,normtime,25095.62064831212
16384,11,efficiency,0.03816340342076182
16384,12,ipc,0.18
16384,12,cachemiss,40.409
16384,12,normtime,21281.12662866278
16384,12,efficiency,0.02966574179666213
32768,1,ipc,1.76
32768,1,cachemiss,1.615
32768,1,normtime,63683.43239396707
32768,1,efficiency,1.0
32768,2,ipc,1.52
32768,2,cachemiss,0.032
32768,2,normtime,104303.78063580577
32768,2,efficiency,0.8189239863089319
32768,3,ipc,1.31
32768,3,cachemiss,0.013
32768,3,normtime,124929.77846909386
32768,3,efficiency,0.6539104116134756
32768,4,ipc,1.15
32768,4,cachemiss,0.013
32768,4,normtime,137319.0868803715
32768,4,efficiency,0.53906911781572
32768,5,ipc,1.0
32768,5,cachemiss,0.011
32768,5,normtime,141402.61242016888
32768,5,efficiency,0.4440797460331751
32768,6,ipc,0.87
32768,6,cachemiss,0.013
32768,6,normtime,141928.8533111939
32768,6,efficiency,0.3714436863085897
32768,7,ipc,0.3
32768,7,cachemiss,39.566
32768,7,normtime,49054.26570358588
32768,7,efficiency,0.11004042935401323
32768,8,ipc,0.25
32768,8,cachemiss,39.173
32768,8,normtime,41931.456022668215
32768,8,efficiency,0.08230448337659112
32768,9,ipc,0.22
32768,9,cachemiss,38.824
32768,9,normtime,36136.45004877467
32768,9,efficiency,0.06304875484241153
32768,10,ipc,0.19
32768,10,cachemiss,39.217
32768,10,normtime,31671.85511573014
32768,10,efficiency,0.04973327272907877
32768,11,ipc,0.18
32768,11,cachemiss,38.667
32768,11,normtime,27589.433042042787
32768,11,efficiency,0.039384345068482006
32768,12,ipc,0.19
32768,12,cachemiss,38.937
32768,12,normtime,22542.487160434146
32768,12,efficiency,0.029498105332664285
65536,1,ipc,1.81
65536,1,cachemiss,0.13
65536,1,normtime,67166.85758000746
65536,1,efficiency,1.0
65536,2,ipc,1.61
65536,2,cachemiss,0.03
65536,2,normtime,116236.8647075188
65536,2,efficiency,0.8652843745820652
65536,3,ipc,1.42
65536,3,cachemiss,0.015
65536,3,normtime,137738.78269874534
65536,3,efficiency,0.6835652168416265
65536,4,ipc,1.29
65536,4,cachemiss,0.012
65536,4,normtime,161529.98512371836
65536,4,efficiency,0.6012265235548199
65536,5,ipc,1.15
65536,5,cachemiss,0.01
65536,5,normtime,170628.74176273582
65536,5,efficiency,0.508074213713176
65536,6,ipc,1.01
65536,6,cachemiss,0.01
65536,6,normtime,172900.5818066587
65536,6,efficiency,0.42903248227918533
65536,7,ipc,0.33
65536,7,cachemiss,38.734
65536,7,normtime,56270.49166959444
65536,7,efficiency,0.11968166975073224
65536,8,ipc,0.27
65536,8,cachemiss,38.555
65536,8,normtime,47909.91290640016
65536,8,efficiency,0.08916211549969247
65536,9,ipc,0.23
65536,9,cachemiss,37.63
65536,9,normtime,40615.50545124245
65536,9,efficiency,0.06718840365058563
65536,10,ipc,0.21
65536,10,cachemiss,37.669
65536,10,normtime,35086.020578034586
65536,10,efficiency,0.05223710300313068
65536,11,ipc,0.19
65536,11,cachemiss,37.649
65536,11,normtime,30190.145808159064
65536,11,efficiency,0.04086180013056876
65536,12,ipc,0.19
65536,12,cachemiss,38.079
65536,12,normtime,25358.475959402327
65536,12,efficiency,0.031462039554746114
131072,1,ipc,1.82
131072,1,cachemiss,0.062
131072,1,normtime,67815.91974970189
131072,1,efficiency,1.0
131072,2,ipc,1.65
131072,2,cachemiss,0.02
131072,2,normtime,119394.16033426051
131072,2,efficiency,0.8802812140197018
131072,3,ipc,1.55
131072,3,cachemiss,0.014
131072,3,normtime,154769.59680544556
131072,3,efficiency,0.7607338482206748
131072,4,ipc,1.47
131072,4,cachemiss,0.011
131072,4,normtime,188069.3060474049
131072,4,efficiency,0.693308100596216
131072,5,ipc,1.38
131072,5,cachemiss,0.009
131072,5,normtime,210811.80523334836
131072,5,efficiency,0.6217177500841167
131072,6,ipc,1.26
131072,6,cachemiss,0.01
131072,6,normtime,221131.57130764684
131072,6,efficiency,0.5434603264341897
131072,7,ipc,0.35
131072,7,cachemiss,36.992
131072,7,normtime,60827.57571663104
131072,7,efficiency,0.12813589649564008
131072,8,ipc,0.28
131072,8,cachemiss,36.179
131072,8,normtime,51804.82397080917
131072,8,efficiency,0.0954879476714553
131072,9,ipc,0.23
131072,9,cachemiss,35.794
131072,9,normtime,42322.26650892474
131072,9,efficiency,0.069341742674925
131072,10,ipc,0.21
131072,10,cachemiss,36.526
131072,10,normtime,37233.55938872273
131072,10,efficiency,0.05490386258292457
131072,11,ipc,0.19
131072,11,cachemiss,36.528
131072,11,normtime,32528.02071327737
131072,11,efficiency,0.04360469935422683
131072,12,ipc,0.2
131072,12,cachemiss,36.322
131072,12,normtime,25998.488919156192
131072,12,efficiency,0.03194737682920742
262144,1,ipc,1.78
262144,1,cachemiss,0.164
262144,1,normtime,68105.0147850616
262144,1,efficiency,1.0
262144,2,ipc,1.75
262144,2,cachemiss,0.048
262144,2,normtime,129526.83584101882
262144,2,efficiency,0.9509346429907075
262144,3,ipc,1.68
262144,3,cachemiss,0.027
262144,3,normtime,172056.7179315599
262144,3,efficiency,0.8421147765920433
262144,4,ipc,1.61
262144,4,cachemiss,0.02
262144,4,normtime,212159.47591352082
262144,4,efficiency,0.7787953522332126
262144,5,ipc,1.55
262144,5,cachemiss,0.017
262144,5,normtime,246190.5509605237
262144,5,efficiency,0.7229733426752709
262144,6,ipc,1.5
262144,6,cachemiss,0.019
262144,6,normtime,273547.61123805516
262144,6,efficiency,0.6694260133935983
262144,7,ipc,0.73
262144,7,cachemiss,37.809
262144,7,normtime,156967.26915442615
262144,7,efficiency,0.32925469092487425
262144,8,ipc,0.55
262144,8,cachemiss,37.813
262144,8,normtime,126132.56991834045
262144,8,efficiency,0.23150382228902844
262144,9,ipc,0.43
262144,9,cachemiss,34.388
262144,9,normtime,101447.46347998123
262144,9,efficiency,0.16550822905242227
262144,10,ipc,0.35
262144,10,cachemiss,34.833
262144,10,normtime,86153.32661763928
262144,10,efficiency,0.1265007090733889
262144,11,ipc,0.3
262144,11,cachemiss,34.963
262144,11,normtime,74044.2647497156
262144,11,efficiency,0.09883702127769242
262144,12,ipc,0.27
262144,12,cachemiss,34.633
262144,12,normtime,57149.00426850635
262144,12,efficiency,0.06992755287412601
524288,1,ipc,1.81
524288,1,cachemiss,0.125
524288,1,normtime,70710.88580945274
524288,1,efficiency,1.0
524288,2,ipc,1.78
524288,2,cachemiss,0.056
524288,2,normtime,135226.4219080329
524288,2,efficiency,0.9561923907475335
524288,3,ipc,1.74
524288,3,cachemiss,0.034
524288,3,normtime,181288.8810466811
524288,3,efficiency,0.8546014708174119
524288,4,ipc,1.71
524288,4,cachemiss,0.025
524288,4,normtime,228391.3111317842
524288,4,efficiency,0.8074828525951393
524288,5,ipc,1.67
524288,5,cachemiss,0.021
524288,5,normtime,268606.54136512993
524288,5,efficiency,0.7597317960036705
524288,6,ipc,1.61
524288,6,cachemiss,0.024
524288,6,normtime,299873.2213614842
524288,6,efficiency,0.7068058850456769
524288,7,ipc,1.14
524288,7,cachemiss,33.279
524288,7,normtime,263672.5872443234
